id,phone_sequence
fadg0_si1279,vcirLAJaeLaLDracLrLDmwLrwrcQJrv
fadg0_si1909,vasLzrnrnPLDrDLDLawPJmircJLcwLDyJHaHlwrzLv
fadg0_si649,vwLJcQiLJaLwcaeisLcwQvAyDrwLryrQLwJrDLJLsLraLvLierwLAaymLrscLv
fadg0_sx109,vrzryJacLrDJLcirDLDvLnELArcLcLaDlaJLryLJacrLv
fadg0_sx19,vcarwrDcswDJrQLSLrLAwDaLaLawDLcyacwDJwnDEv
fadg0_sx199,vTcDLrzraLriLDrImcaQcSLimwLAJLcrnbzLrwLAwDLrnLzwrJLrwJyJwDJv
fadg0_sx289,vScrlLiywHaJLAaLeaLairwJLQrLyDTyTPyJacDJyaemcIcv
fadg0_sx379,vLnsDLDrDLJLriailmyEDEScJDJLaDLHLJLrnwJv
faks0_si1573,vrJLAeaLrcDrSaJLrHnrDcDvsLDLrsDrJLcyTPmwacLcIrLJmSLSLSLiLDrDrzsesLcyv
faks0_si2203,vlrQiyJanrJaLlLlrJLraiLJyEDLDaPIPcSrmDerv
faks0_si943,vLiLcLArwDwDwnaLrHaiLcaScerScLAJLwLrnrwDJv
faks0_sx133,vLyLJLiyrJaiLAwDLyDEDrDaLwLASrLAaLcaDLzrzv
faks0_sx223,vLIcLlaLcLzrLcLSLaLrnLcLScDlwLDLiarzv
faks0_sx313,vDiaLraiLJaLiDSwJwDlaLcaLaLAJLaLimyLDeSeLvLv
faks0_sx403,vLSLiLDirLADJrJaQrerwSayJLALaLiLrJwDLcSiaeLJwJv
faks0_sx43,vsaeamlLaSyLyLcLaLaDaHaDwrLAJLAayPLrwLrv
fcal1_si1403,vsrLSceSnrJHnsDLrlwLvnrDJiaiLAwLAIcLcaSiDrJmwnsDwcarsJwLJseseLavLv
fcal1_si2033,vcIsLcrLAaSeaJcrnDLrHLvLirSnrsJLrLwaiLlnrsJv
fcal1_si773,vSarmLarLiaLzsLAJLriJacLayaLJsQiLrcLlnDwJv
fcal1_sx143,vlwJseDmwLzrDwaLJLcDTyPLDacJLDAnrLiLlLlrwnrsnmacLarLv
fcal1_sx233,vaeSnysrDaiySnwnDlwJnsnDLHlnwDLDv
fcal1_sx323,vlwaLaiLQrDmrlsrwDaLwLiQrDreacDLraecLDwDv
fcal1_sx413,vlsamDnyJmSymwrJrmDnmaLrLScyLJLDADaLamwnsLzLrLJLADLrv
fcal1_sx53,vryDrDmrJrLcDrQwLAsLcTranrinLAwDLrnDJrDLcaScLJv
fcmh0_si1454,vcirLzwaLScLrSnyvLlwnDLraiLzrzTPrwJLrSLQsiywrJLAacwLcwJnrwrDJcQLaceayvTycsJLrLJv
fcmh0_si2084,vScmwLcemrLryinrDLcnrDwDv
fcmh0_si824,vJsQcraLDJcsLwnrLzwDLDiJrEDrsDJaLiDLisLinrwDHriPHQcyLwDwsnsDwraQasLrzLwJv
fcmh0_sx104,vyJLrLrLacrcLDaLiDwLcLcwlaLcnLDLv
fcmh0_sx14,vcyaLiLHlnLiLwJLrwrJwLDJnsneswLviyQTPsQiyaLiwTywaScacLv
fcmh0_sx194,vcnrsDLzLcinrSLSsDiaineLDrwrwrDv
fcmh0_sx284,vzsalcacaLTyTwPaiLDTPLrDQnLcLcLcwJrDLzwPaTPLzLzwrJv
fcmh0_sx374,vzaLaDLAaynDJvrseaHnrnraLicacrlmrEDv
fdac1_si1474,vesJLAynyTyaecDwnsDwvyJsLcSrDHmwaLvrMrJLrnsnyJLHJv
fdac1_si2104,vecavaearvyaJaHeaeaLnLaicrJLrwQLcrScJnyvLvLvsDLaSiesesJLrv
fdac1_si844,vavHleaLiJLrsLDwrLAeLcDarbJrwDJnynyrJwLznyQLrvsLlrynLAJLcseDLrJcwQDesLzrLSLaLvnLAJLcrsLiaLywrwDLJv
fdac1_sx124,vaeaiLczrLJzJmwnmwrLyrPrPmLaLcTPrPmarLecv
fdac1_sx214,vlcwLacDmrDLDrSacDlwrJLcinsLwSsLDaSsrJsrDLrwLvrDwlrJeacDv
fdac1_sx304,vznyLJLreaLDryrwESwJwiaeDwcainsLrJLraeirDLlnsrLcSLacDLv
fdac1_sx34,vLreDLzPLzreayJLrnmyLrnrbrzrnrJv
fdac1_sx394,vLAeJyrwDwnLJLvLcDcaeaLaLrwDJwDLryrJLrDiaeacDLv
fdms0_si1218,vLeacSaHLJwLSiLicQLrwSracLcDvywDLvnwrDJv
fdms0_si1502,vrwSwJDavDniwLJaiLawywLvnsDmwLDacnLDnJmSnLrynLcLwLrnLAwLDeaeaDLzwJwLvDwLrLv
fdms0_si1848,vSyLAwDLDeaiLrzPywPLSiwyLADLDaeaSiLDirwacLyLcv
fdms0_sx138,vlwLAacDJwLAvwJmwSLJLcrscJawDlwLAJLcrDJwJaLaQaywDwv
fdms0_sx228,vlwvyPLiwDLrLarcQLwlILrywDrDv
fdms0_sx318,vLiayJLrwrLDwcaLwLrnmrwJscLcyaSLaiaLcJLrv
fdms0_sx408,vieiLDiclwJcLcSniLcwesDvsQwDLrwDcwaLznDnyEDLJzJzv
fdms0_sx48,vDicDclLeLDiPvLiacLirDywDLvwDwLAwDLrJv
fdrw0_si1283,vlrQrEDErDrsaeLHlnwrlrQnmyTrSsLrnrirwymynycaLeaeaLlwLAnJzJQieaLlaLSwysLJaeaiLJLrv
fdrw0_si1423,vLceLrLacDvyLDemcLrwLcaceceaeSerLv
