id,phone_sequence
fadg0_si1279,IwLALUFaILDFBLDwLwQU
fadg0_si1909,tbLiKnFPLuwLDBPLIwFBULHwLDyUNLtLwKi
fadg0_si649,wLcQILtLCcBgbLcwQHTyTyPDwLyTywQLHLHwLwDLHnLtLvLIFwLABymLKncLH
fadg0_sx109,KiKyLBncLwDLIwELvLnbELABFBLBaDLcLyLHLBcFLH
fadg0_sx19,cBwCwDcnCDLFQcSLAwDaBtwDLytBcCDUwyE
fadg0_sx199,TcDLKiwFBLILDKOmcQLGwLmwLALcFnKiLwLAwDLsLzwLwUyUcwD
fadg0_sx289,SnwLHIyNtLAcBeaIKwULQwILyTyTPyLtcBncDLyabebmB
fadg0_sx379,HsbDLuwDLIgLmyEBScLDUBacDLNLULbswLU
faks0_si1573,vwULAbLcDEFScULNswDcDvbLuLwnDLEwULyTPmwtBLFLSaSLSaIDwDLKibebLy
faks0_si2203,wnQIyULcsPwULtLwLagLyELtBLBwKLDeF
faks0_si943,HILcLAKwECstaBFNtaILBSBSceFnLALHwLsKwDLU
faks0_sx133,HyLnLIywLULaILAwDELyETwDtLwLASwLABScDLiK
faks0_sx223,HOLcLcLiLaSaLsLBaFGScDLwLuLILIagK
faks0_sx313,uIaLtagLtaIBCLwDLcLaLALHctaImyLubeBFbeFB
faks0_sx403,vLSaILIFLADLDLnwLcQFBFCSByLALaILDLBSgFLwLU
faks0_sx43,bnBLnLByLHyLHBGBaLIaDtNLcDwLALAByPLw
fcal1_si1403,naBSFcBSswULNbnbDLwLwLHsKwDLgbgLAwLABLBSgDLDwLCsbDwntwnLwLnBt
fcal1_si2033,OnLwLABeaBLBFKsDLwNLHLIFBSsnLaGIwBgLsnwn
fcal1_si773,SBwmanaBFLHIaLznLALIgLBFcBytLnQIBLsnbsDw
fcal1_sx143,wLbeDLwLzwDwtQtLULTyLuBLAwILwLwnDLBcBaF
fcal1_sx233,vageSsynDtIySsCyDLwLbsEDLnbswELE
fcal1_sx323,wtagLHLQwnLmwLnCLDtLCLIgQwEFacDLaeacLwD
fcal1_sx413,bntLDyLSymwLDswmcLHLHSGLAaLtLCbLzLAuLn
fcal1_sx53,wyDLwLwLHBLQBwLAbnbLTwBswnIsyLAwDLsDLwnDLBLULU
fcmh0_si1454,cnInwLzwBSFLBsyLwCsEDLgLiKTPwULSLQnIywnLAacCLwUswKwDLUcQLHaByTynLPLU
fcmh0_si2084,ScmwLbmwLyIswDLsbwDCD
fcmh0_si824,nQBctQLnLUcnLCswLiwDLgUwEwnDLDUagDLHInLHLIsKwDLPIPNQLyLCnDwtQbLKiLwULU
fcmh0_sx104,vyLnBaBFncLagDLcCLcLsLu
fcmh0_sx14,ytaILNLnILwLULwLUwLUbCLIyQyTPnQIytaICTywBaBc
fcmh0_sx194,smwnDLzGgswSLSnDIgneBagLwKwnD
fcmh0_sx284,zntLcbLTwPaILuTPLwDQsLcLwLULwDLzwPtTPLzLHLiwLU
fcmh0_sx374,zaDELAHBysDULKnBtwKtaIBnLwED
fdac1_si1474,vebLALyTyaeEDCsbDLDwvyULbLBwDNLCgaLwLnbsyULNLU
fdac1_si2104,veabvaegbgebKvytUtNeagaLsLBagbKLwQLQLGScLsyLbLcBgb
fdac1_si844,tLeagULbLDwLAIeFBcDtwKLKwDLULsywLUwLisyQLbLyswLALbDLcQDbLziLiKaSaBaLnwsLALHLwnLIaIyTwD
fdac1_sx124,aLaeagLzwLzLCsmwLHywPwPmLaLTPBPmctBFaB
fdac1_sx214,cCacDLwEDLwBSgacDLwULgnLwSbLuBnwLnDLDLwLwDLwLgeabDLD
fdac1_sx304,iysyLeabLuLywEwULCIabeDLDCLctIsnwLgaegbDLnFLSaGacD
fdac1_sx34,ebeFELPLigebByULsnmyLwswKzKwU
fdac1_sx394,AbebeBLynwCDCsLabaFCDLULULwDLyKLIaeacD
fdms0_si1218,HcBcLCBSaSIBQLSwnBgDyvyCwDLHvbwKDLDLU
fdms0_si1502,yTwSwUDagDgwLUabgLABwLHvbnDLwLcLBsLAwsULSsgLyLHwLHwsgLAwLDeaeaDLzwLwLuHnan
fdms0_si1848,SyLAwDLegLiywPLSIwLADLagBgLAuIwBLHyLHB
fdms0_sx138,wLABcDUwLAnwLCSLwnBULcCLwLALwDUcwQULHLtQtyTwCD
fdms0_sx228,wQvyPLHaGELcFBQLwBLcOLywDKD
fdms0_sx318,HByULwLCcLwLsmwnwUncLywtBtIac
fdms0_sx408,gLIcILwLcLGSgLbnLvbnQwDLwDLwQtLisDsEDEDLz
fdms0_sx48,uIncnDLcLIeLuIPvLInLHIwEDyBywDLHvHnDwLAnwD
fdrw0_si1283,wQwEwDwKnBLwnLwQsmyTcSbLwPIwymyctaBeaLwLAsULQIebLHLcLBynLteaI
fdrw0_si1423,beLFacDvyLuaebemcLwLBeFaFeaSBFB
fdrw0_si653,KLznwByLwLwULwIyabBgcmySyTaBwLDaegeBsyLz
fdrw0_sx113,snDCnLuTwPngebLwCnwDLwULuwLutIsTwLbebtLA
fdrw0_sx203,wLAagUSsynDLwLwLIcLBIsyLnbnLwKwBa
fdrw0_sx23,FUCyUwLKwDLULaCwDaegUDacLcBcULBsy
fdrw0_sx293,AHByULsLwULnLmyLsLcLAaeaLwLwLAICyDwUtwDCsy
fdrw0_sx383,wLAaLHwLAIyDwKbCLHAPFwLeaLGaIwEyIbnDcFBIeaeg
fedw0_si1084,nLsyEDwvDLCsLyLcBtaSaICsgsKnDcLaFeacLsKsgsLtIcBCtSsywLiLHbeabLwKsLyQaBLt
