id,phone_sequence
fadg0_si1279,hIwLAJUaDFBLMrDwLMwQU
fadg0_si1909,tbLKFPLuwDBPJLIwFBJLHwDyNwKir
fadg0_si649,wLJcQrJUtrCcBbLHwQHyDwLMywQLHrLHwJwDrJLHnLMtrvrIFwLABymrKncLH
fadg0_sx109,KiyJBcLkwDJLHIwEvrnELABaDcJLMyLHJBFLH
fadg0_sx19,cBwCwDJFQcSrLAwDatwDLhytBcDUwyE
fadg0_sx199,TcDLKiwBLkIwDKwmcQDwmwLAJLhcFnKirLMwLAwDLMsLzwJLkwUyUwDJ
fadg0_sx289,SwkrLHIyNJLAcBaIKwUrLwIyJtcBcDJyemB
fadg0_sx379,HsbDLuwDJLMIglyEBScJDUaDNrJLMswJU
faks0_si1573,vwJLAbLMcDFcJLMNwDcDvbLurLkwDwUJLHyTPmwtBLkFLJLSrSaIDwDKibebLhy
faks0_si2203,lnQIyUJcDwJtrLkwJLMagLJyELktBwKLDeB
faks0_si943,HrLkcLAKwCstaBNtaILhBSceFnLAJLHwLMsKwDJU
faks0_sx133,HyLJrIywUJaILAwDEyETwDtrwLASwLABScDLiKU
faks0_sx223,HOLlcLhcLMrLhaSaLMsLhcDlwLurIaKU
faks0_sx313,uIaLtaLJtaIDJwDlcLhaLAJLHctaIyLuFeD
faks0_sx403,vrDSaILkIFLkLADwDJwJcQFDByJLAaILMJcDBSgDLJwJU
faks0_sx43,nBlrByLHyLHBaDNcDwLAJLAByPLkwLk
fcal1_si1403,aSswUNbDLkwlwLHsKwDJgLAwLABLhBSgDwJLCsbDwtwnJwLJnBt
fcal1_si2033,hOnLhwLABaJBKsDLkwNLHrIFSsnJLMaIwBgLlswnJ
fcal1_si773,BwmaFLHIaLznLAJLMIgJBytrJnQIBLksbsDwJ
fcal1_sx143,lwJbeDkwLzwDwtrULhyLuBJLAwIwnDBcBaF
fcal1_sx233,vaeSsynDtIySsCyDwJbsDLNbswED
