id,phone_sequence
fadg0_si1279,BhIwLAJUaIrDFBLMrDwLMwQU
fadg0_si1909,tbLKnFPLuwDLDBPJLIwFBDBULHwLDyUNtNlwKLr
fadg0_si649,wLJcQIrJUtrCcBUbLwQHTwTwPDwLMyTywQLHrLHwJwDIrJLHnLMtrvrIFwLABymrKncLH
fadg0_sx109,KLKyJBncLkwDJLtIwELvrnELABFPBaDlcJLMyLHJBcFLH
fadg0_sx19,cBwCwDcnCDJFQcSrLAwDaBtwDLBaytBcCDUwE
fadg0_sx199,TcDLKLwnBLkIrDKOmcQwGcawLmwLAJLBacFnKLrLMwLAwDLMsLzwJLMwUyUcwDJ
fadg0_sx289,SnwlkrLHIywNtLAcBeaIKwUrLwIryTPyJtcBncDJybabebmB
fadg0_sx379,HsbDLuwnwDLJLMIglmyEBcJDUBaDLNnrUJLMbsnswJU
faks0_si1573,vwULAbLMcDFcUJLMNswDcDvbLurLkwnDkwULHyTPmwtBLBOwFLMJLSaSrSaIDwDKLbebLBy
faks0_si2203,lwnQIyTyUJcPwUJtrlLkwJLMkagLJyEDLktBwKLDeBF
faks0_si943,HIrLkcLAKwCstaBFNtaILBSceFnLAJLHwLHMsKwDMJU
faks0_sx133,HyLJnrIywUJaILAwDELyETwDtrwLASwLABacaDLKwz
faks0_sx223,HOLlcLBcLMrLBaSaLMsLBGcDlwLurIrIaKw
faks0_sx313,uIaLNMtagLJtaIBCJwDlcLBhaLAJLHctaImyLunbeBFbeFB
faks0_sx403,vrFSaILkIFLADJnwJcQFBCSByJLAraILMJDLBSgFLJwJU
faks0_sx43,bnBlnrByLHyLHBaGBarIaDtNcDwLAJLAByPLkwLk
fcal1_si1403,naBFcBSswUNbnbDLkwlwLHsKwDJgbLAwLABLBSgDwJLCsbDwntwnJwLJnBt
fcal1_si2033,BwOnLBawLABeaBJUBKsbsDLkwNLDMHrIFBSsnJLMaIwBgLlsnwnJ
fcal1_si773,SBwmanaBFLHIaLznLAJLMIgJBFcBytrJnQIBLksnbDsDwJ
fcal1_sx143,lwJbeDkwLzwDwtrULTPLucBJLAswIrlLkwnDBcBaF
fcal1_sx233,vageSnswynDtIySnsCyDlwJbsEDLNlnbDwEDLDED
fcal1_sx323,lwtagLHrQnDwlknCDUtrCrIgQwEDFacDLMaecrwD
fcal1_sx413,kbntLDyJLSymwJLDswmcLHSBGLJLAartLCbLzLMrJLAurnrLM
fcal1_sx53,wyDwJwLBQBwLAbnbLBTwBsnIswLAwDLMsDJwnDLBU
fcmh0_si1454,cnInwLzwBcnrBswyLlwCsEDLMagLKTPwULMSrQnIywnJLAacCLHwUswKwDUcQLHaByTwnJLMPrJU
fcmh0_si2084,ScmwLbmwLMyIwDLsbwDCD
fcmh0_si824,JnQwBctrnrDUcnrCswLwDLkgUwEwnDUagDLHInLHrIsKwDNMPIPNQwyLCDCnDwtQtbLKLrwU
fcmh0_sx104,vyJLkcnBaBFncLkagDLrcClcLBsLur
fcmh0_sx14,BhytaIrNlnIrwULMwUwLUbCrLIyQTPnQIytaICTwBaBcr
fcmh0_sx194,BsmwnDLzGgDwSLSnDIgneBagLkwKwD
fcmh0_sx284,zntlcbLTwPaILuTPLkwDQsLwrcwJUwDLzwtTPLzLHrLwJU
fcmh0_sx374,zaDLAHBysDULKnBtNwKtaIBnlwED
fdac1_si1474,vebJLAyTyTyaeEDCsbDwvyUJbLBwDNLCaLkwUJLMnbswUJLNJU
fdac1_si2104,vebtvaegwbebKvytUtNeaLsLkBagbKJLkwQLwGcScJswyLkLbDkcBgbJLM
fdac1_si844,tNleagUJLMbLDwLAcFBcDtwKUKwDUJswyrywUwLswyQLMLbLlMyswLAJLtbDLMJcncQDbLzLaSaBaLHnwsLAJLHwnIaIwyTwDLJ
fdac1_sx124,aeaLBzwLJzJLCsmwLHTwPwPmrarLBTPBPmctDFaB
fdac1_sx214,lcCacDwEDLkwBSacDlnwUJLBhgbgbnLkwSbLuBnwJnDnDLkMwLwDlwJgeabDk
fdac1_sx304,yswyLHJLMkeabLuAMywEwUCIabeDClctInwJLMbegbDlncLBSaGacDLk
fdac1_sx34,kebeFEDLkPLbebByULksnmyLkwswKzKwUJU
fdac1_sx394,AbebeBJynwCDCsLJLDBabaFDUJwDLMyJLkIaeacD
fdms0_si1218,HcBcLJCaSIBQrLMwSIwnBIDyvTCwDLHvbwKDJU
fdms0_si1502,wTwSwUDagDgwLUabLABwLHvbnDwLkcsLAwswsULSswLMywLBHwLHwsLAwLDeaDLzwJcwLuHnanr
fdms0_si1848,SyLAwDLkegLMLPywPLSIwLADLkagBgLAuAIwBLHyLHB
fdms0_sx138,lwLABcDUwLAnwJLCSrJLwnBUJcDlwLAJLwDUwcQUtLHrtQtyTwCD
fdms0_sx228,lkwvyPLHaGwDLkcBQrwBlcONLNMywDKD
fdms0_sx318,HByULkwLDCcLHwLMsmcnwUncLBywtBtIacJLM
fdms0_sx408,gLkIcIltkwJcLBGSngLBbnDvbnQwDLkwDwtLsDswEDLUzJ
fdms0_sx48,uIncnDlclrIeLuIPvrInLHIwDywDLHvHnDwLAnwDLMJ
